generator,run,connectivity,longest_path,avg_path,rect_rooms,prefab_rooms,bfs_rooms
room_accretion,74,0.9571428571428572,73,44.45373134328358,11,1,0
room_accretion,75,0.8901098901098901,49,28.098765432098766,11,1,0
room_accretion,76,0.005,0,0.0,8,4,0
room_accretion,77,0.9890510948905109,49,22.564575645756456,9,3,0
room_accretion,78,0.004830917874396135,0,0.0,7,5,0
room_accretion,79,0.9925742574257426,58,35.46134663341646,8,4,0
room_accretion,80,0.9900990099009901,52,27.065,7,5,0
room_accretion,81,0.9338842975206612,60,32.84513274336283,7,5,0
room_accretion,82,0.9908256880733946,81,44.01234567901235,10,2,0
room_accretion,83,0.032,7,3.5,10,2,0
room_accretion,84,0.9736842105263158,68,34.22007722007722,9,3,0
room_accretion,85,0.9918367346938776,67,26.909465020576132,9,3,0
room_accretion,86,0.9825581395348837,54,30.059171597633135,9,3,0
room_accretion,87,1.0,52,23.546511627906977,11,1,0
room_accretion,88,0.8996138996138996,53,29.17167381974249,11,1,0
room_accretion,89,0.9963503649635036,66,31.304029304029303,10,2,0
room_accretion,90,0.8913043478260869,60,32.400696864111495,10,2,0
room_accretion,91,0.9916317991631799,54,28.531645569620252,9,3,0
room_accretion,92,0.9202127659574468,47,24.36994219653179,10,2,0
room_accretion,93,0.9839357429718876,57,29.13061224489796,8,4,0
room_accretion,94,0.014925373134328358,3,1.5,10,2,0
room_accretion,95,1.0,68,36.62686567164179,11,1,0
room_accretion,96,0.9906832298136646,64,37.13166144200627,10,2,0
room_accretion,97,1.0,57,29.289915966386555,8,4,0
room_accretion,98,1.0,74,37.11504424778761,12,0,0
room_accretion,99,0.9959514170040485,67,31.349593495934958,8,4,0
bfs,0,1.0,29,19.43777777777778,0,0,1
bfs,1,1.0,29,19.477777777777778,0,0,1
bfs,2,1.0,29,19.011111111111113,0,0,1
bfs,3,1.0,29,19.477777777777778,0,0,1
bfs,4,1.0,29,19.442222222222224,0,0,1
bfs,5,1.0,29,19.011111111111113,0,0,1
bfs,6,1.0,29,19.477777777777778,0,0,1
bfs,7,1.0,29,19.477777777777778,0,0,1
bfs,8,1.0,29,19.011111111111113,0,0,1
bfs,9,1.0,29,19.011111111111113,0,0,1
bfs,10,1.0,29,19.477777777777778,0,0,1
bfs,11,1.0,29,19.011111111111113,0,0,1
bfs,12,1.0,29,19.011111111111113,0,0,1
bfs,13,1.0,29,19.477777777777778,0,0,1
bfs,14,1.0,29,19.011111111111113,0,0,1
bfs,15,1.0,29,19.477777777777778,0,0,1
bfs,16,1.0,29,19.011111111111113,0,0,1
bfs,17,1.0,29,19.011111111111113,0,0,1
bfs,18,1.0,29,19.442222222222224,0,0,1
bfs,19,1.0,29,19.011111111111113,0,0,1
bfs,20,1.0,29,19.433333333333334,0,0,1
bfs,21,1.0,29,19.011111111111113,0,0,1
bfs,22,1.0,29,19.477777777777778,0,0,1
bfs,23,1.0,29,19.011111111111113,0,0,1
bfs,24,1.0,29,19.011111111111113,0,0,1
bfs,25,1.0,29,19.011111111111113,0,0,1
bfs,26,1.0,29,19.477777777777778,0,0,1
bfs,27,1.0,29,19.011111111111113,0,0,1
bfs,28,1.0,29,19.011111111111113,0,0,1
bfs,29,1.0,29,19.477777777777778,0,0,1
bfs,30,1.0,29,19.011111111111113,0,0,1
bfs,31,1.0,29,19.446666666666665,0,0,1
bfs,32,1.0,29,19.011111111111113,0,0,1
bfs,33,1.0,29,19.477777777777778,0,0,1
bfs,34,1.0,29,19.011111111111113,0,0,1
bfs,35,1.0,29,19.477777777777778,0,0,1
bfs,36,1.0,29,19.011111111111113,0,0,1
